エラー,22.308,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,格子番号の位置,,,,,,,,,,刻み,4,ｃｍ,,,,,
開始時刻,1,1.947,9.9,12.738,,,54.78,,,1,2,3,4,5,6,7,8,,,以上,未満,累積,頻度,%,,
,2,14.685,1.4,0.693,14,,,,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,,1,0,4,0,0,0,,
,3,15.378,1.5,0.594,15,7.4575,,,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,,2,4,8,16,16,37.20930233,,
,4,15.972,3.5,0.33,35,13.44,,,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,,3,8,12,28,12,27.90697674,,
,5,16.302,2.4,0.264,24,10.03856097,,,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,,4,12,16,29,1,2.325581395,,
,6,16.566,5.5,1.848,55,21.49511354,,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,,5,16,20,30,1,2.325581395,,
,7,18.414,2.3,0.693,23,25.07753626,,,,,,,,,,,,,6,20,24,38,8,18.60465116,,
,8,19.107,1.3,0.099,13,6.72,,,目視時間の分布（秒）,,32.406,,,,,,,,7,24,28,41,3,6.976744186,,
,9,19.206,1.4,0.693,14,7.4575,,,,1,2,3,4,5,6,7,8,,8,28,32,42,1,2.325581395,,
,10,19.899,2.4,0.627,24,6.72,,,5,0,0,0,0,3.399,0,0,0,,9,32,36,43,1,2.325581395,,
,11,20.526,2.3,0.231,23,7.4575,,,4,0,0,0,0,0,0.726,0,0,,10,36,40,43,0,0,,
,12,20.757,1.2,0.363,12,10.03856097,,,3,0,0.957,2.046,0.891,1.023,1.848,0.957,0,,11,40,44,43,0,0,,
,13,21.12,1.5,0.231,15,22.3725,,,2,0,1.287,7.095,2.244,0.693,0.66,0.165,0,,12,44,48,43,0,0,,
,14,21.351,2.4,0.165,24,10.03856097,,,1,0,0.924,0.231,1.881,2.838,1.353,1.188,0,,13,48,52,43,0,0,,
,15,21.516,2.3,3.432,23,7.4575,,,,,,,,,,,,,14,52,56,43,0,0,,
,16,24.948,2.4,0.33,24,7.4575,,,目視時間の分布（%）,,100,,,,,,,,15,56,60,43,0,0,,
,17,25.278,1.7,0.462,17,23.35994769,,,,1,2,3,4,5,6,7,8,,16,60,64,43,0,0,,
,18,25.74,2.7,0.165,27,6.72,,,5,0.0,0.0,0.0,0.0,10.5,0.0,0.0,0.0,,17,64,68,43,0,0,,
,19,25.905,3.6,0.462,36,10.03856097,,,4,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.0,,18,68,72,43,0,0,,
,20,26.367,3.2,0.462,32,29.83,,,3,0.0,3.0,6.3,2.7,3.2,5.7,3.0,0.0,,19,72,76,43,0,0,,
,21,26.829,2.3,0.627,23,10.03856097,,,2,0.0,4.0,21.9,6.9,2.1,2.0,0.5,0.0,,20,76,80,43,0,0,,
,22,27.456,3.3,0.924,33,6.72,,,1,0.0,2.9,0.7,5.8,8.8,4.2,3.7,0.0,,,,,,,100,,
,23,28.38,5.5,0.132,55,20.07712193,,,,,,,,,,,,,,,,,,,,
,24,28.512,4.6,0.726,46,10.03856097,,,目視時間の分布ランキング,,,,,,,,,,,,,,,,,
,25,29.238,2.3,0.924,23,26.09908727,,,,1,2,3,4,5,6,7,8,,,,,,,,,
,26,30.162,1.6,1.353,16,23.35994769,,,5,21,21,21,21,2,21,21,21,,,,,,,,,
,27,31.515,5.5,1.419,55,27.89531692,,,4,21,21,21,21,21,16,21,21,,,,,,,,,
,28,32.934,1.2,0.561,12,34.97231986,,,3,21,12,5,15,11,7,13,21,,,,,,,,,
,29,33.495,1.5,2.013,15,22.3725,,,2,21,9,1,4,17,18,20,21,,,,,,,,,
,30,35.508,9.9,7.656,99,,,,1,21,14,19,6,3,8,10,21,,,,,,,,,
,31,43.164,2.5,0.132,25,,,,,,,,,,,,,,,,,,,,,
,32,43.296,2.4,0.528,24,7.4575,,,,,,,,,,,,,,,,,,,,
,33,43.824,2.5,0.363,25,7.4575,,,目視個所Ｔｏｐ　No.1,2.3,1,,5.1,21,,,,,,,,,,,,
,34,44.187,9.9,0.198,99,,,,目視個所Ｔｏｐ　No.2,5.5,2,,4.1,21,,,,,,,,,,,,
,35,44.385,2.5,0.198,25,,,,目視個所Ｔｏｐ　No.3,1.5,3,,3.1,21,,,,,,,,,,,,
,36,44.583,3.6,0.693,36,10.03856097,,,目視個所Ｔｏｐ　No.4,2.4,4,,2.1,21,,,,,,,,,,,,
,37,45.276,3.7,0.957,37,7.4575,,,目視個所Ｔｏｐ　No.5,3.3,5,,1.1,21,,,,,,,,,,,,
,38,46.233,2.6,0.561,26,10.03856097,,,目視個所（累積ではない）,20,,,5.2,21,,,,,,,,,,,,
,39,46.794,3.5,0.693,35,10.03856097,,,非目視個所,20,,,4.2,21,,,,,,,,,,,,
,40,47.487,2.2,0.396,22,23.35994769,,,合計,40,,,3.2,12,,,,,,,,,,,,
,41,47.883,3.4,0.891,34,16.35896161,,,,,,,2.2,9,,,,,,,,,,,,
,42,48.774,2.4,0.33,24,6.72,,,,,,,1.2,14,,,,,,,,,,,,
,43,49.104,2.3,0.462,23,7.4575,,,,,,,5.3,21,,,,,,,,,,,,
,44,49.566,9.9,0.561,99,,,,,,,,4.3,21,,,,,1,2,3,4,5,6,7,8
,45,50.127,2.3,0.726,23,,,,,,,,3.3,5,,,,5,21,21,21,21,2,21,21,21
,46,50.853,1.4,0.495,14,10.03856097,,,,,,,2.3,1,,,,4,21,21,21,21,21,16,21,21
,47,51.348,9.9,0.066,99,,,,,,,,1.3,19,,,,3,21,12,5,15,11,7,13,21
,48,51.414,1.3,0.132,13,,,,,,,,5.4,21,,,,2,21,9,1,4,17,18,20,21
,49,51.546,9.9,0.363,99,,,,,,,,4.4,21,,,,1,21,14,19,6,3,8,10,21
,50,51.909,2.2,0.858,22,,,,,,,,3.4,15,,,,,,,,,,,,
,51,52.767,9.9,0.132,99,,,,,,,,2.4,4,,,,,,,,,,,,
,52,52.899,2.2,0.033,22,,,,,,,,1.4,6,,,,,,,,,,,,
,53,52.932,3.3,0.165,33,10.03856097,,,,,,,5.5,2,,,,,,,,,,,,
,54,53.097,9.9,0.066,99,,,,,,,,4.5,21,,,,,,,,,,,,
,55,53.163,3.3,0.066,33,,,,,,,,3.5,11,,,,,,,,,,,,
,56,53.229,3.2,0.495,32,7.4575,,,,,,,2.5,17,,,,,,,,,,,,
,57,53.724,9.9,0.594,99,,,,,,,,1.5,3,,,,,,,,,,,,
,58,54.318,3.3,0.891,33,,,,,,,,5.6,21,,,,,,,,,,,,
,59,55.209,3.6,0.693,36,22.3725,,,,,,,4.6,16,,,,,,,,,,,,
,60,55.902,2.6,0.099,26,6.72,,,,,,,3.6,7,,,,,,,,,,,,
,61,56.001,1.7,0.726,17,10.03856097,,,,,,,2.6,18,,,,,,,,,,,,
,62,56.727,1.7,,,,,,,,,,1.6,8,,,,,,,,,,,,
,観測時間［秒］,54.78,,,,,,,,,,,5.7,21,,,,,,,,,,,,
,,,,,最少移動距離,6.72,,,,,,,4.7,21,,,,,,,,,,,,
,任意個所の最大目視時間［s］,,,7.66,最大移動距離,34.97,,,,,,,3.7,13,,,,,,,,,,,,
,任意個所の目視時間の標準偏差,,,1.06,平均移動距離,13.67,,,,,,,2.7,20,,,,,,,,,,,,
,,,,,距離標準偏差,7.86,,,,,,,1.7,10,,,,,,,,,,,,
,,,,,,,,,,,,,5.8,21,,,,,,,,,,,,
,原本再生時間,54.719,秒,,9.9のカウント数,9,,,,,,,4.8,21,,,,,,,,,,,,
,観察時間,54.78,秒,,9.9の秒数,22.374,,,,,,,3.8,21,,,,,,,,,,,,
,観察割合,1.001,,,0のカウント数,0,,,,,,,2.8,21,,,,,,,,,,,,
,,,,,0の秒数,0,,,,,,,1.8,21,,,,,,,,,,,,
,総ロスト時間［秒］,22.374,,原本再生に占める9.9の割合,,0.409,,,,,,総計,40,,,,,,,,,,,,,
,原本再生に占めるロスト割合,0.409,,観察時間に占める9.9の割合,,0.408,,,,,,,,,,,,,,,,,,,,
,観察時間に占めるロスト割合,0.408,,原本再生に占める0の割合,,0.000,,,,,,,,,,,,,,,,,,,,
,,,,観察時間に占める0の割合,,0.000,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,チェックデジット,32.406,,,,,,,,,,,,,,,,,,,,,
,,,,OK,32.406,,,,,,,,,,,,,,,,,,,,,
,,,,,32.406,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
