エラー,,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,格子番号の位置,,,,,,,,,,刻み,4,ｃｍ,,,,,
開始時刻,1,1.089,9.9,54.967,99,,54.967,,,1,2,3,4,5,6,7,8,,,以上,未満,累積,頻度,%,,
,2,56.056,9.9,,,,,,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,,1,0,4,0,0,#DIV/0!,,
,観測時間［s］,54.967,,,,,,,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,,2,4,8,0,0,#DIV/0!,,
,,,,,最少移動距離,#NUM!,,,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,,3,8,12,0,0,#DIV/0!,,
,任意個所の最大目視時間［s］,,,54.97,最大移動距離,0.00,,,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,,4,12,16,0,0,#DIV/0!,,
,任意個所の目視時間の標準偏差,,,0.00,平均移動距離,#DIV/0!,,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,,5,16,20,0,0,#DIV/0!,,
,,,,,距離標準偏差,#DIV/0!,,,,,,,,,,,,,6,20,24,0,0,#DIV/0!,,
,,,,,,,,,目視時間の分布（秒）,,0,,,,,,,,7,24,28,0,0,#DIV/0!,,
,原本再生時間,54.719,秒,,9.9のカウント数,2,,,,1,2,3,4,5,6,7,8,,8,28,32,0,0,#DIV/0!,,
,観察時間,54.967,秒,,9.9の秒数,54.967,,,5,0,0,0,0,0,0,0,0,,9,32,36,0,0,#DIV/0!,,
,観察割合,1.005,,,0のカウント数,0,,,4,0,0,0,0,0,0,0,0,,10,36,40,0,0,#DIV/0!,,
,,,,,0の秒数,0,,,3,0,0,0,0,0,0,0,0,,11,40,44,0,0,#DIV/0!,,
,総ロスト時間［秒］,54.967,,原本再生に占める9.9の割合,,1.005,,,2,0,0,0,0,0,0,0,0,,12,44,48,0,0,#DIV/0!,,
,原本再生に占めるロスト割合,1.005,,観察時間に占める9.9の割合,,1.000,,,1,0,0,0,0,0,0,0,0,,13,48,52,0,0,#DIV/0!,,
,観察時間に占めるロスト割合,1.000,,原本再生に占める0の割合,,0.000,,,,,,,,,,,,,14,52,56,0,0,#DIV/0!,,
,,,,観察時間に占める0の割合,,0.000,,,目視時間の分布（%）,,#DIV/0!,,,,,,,,15,56,60,0,0,#DIV/0!,,
,,,,,,,,,,1,2,3,4,5,6,7,8,,16,60,64,0,0,#DIV/0!,,
,,,,チェックデジット,0.000,,,,5,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,17,64,68,0,0,#DIV/0!,,
,,,,OK,0.000,,,,4,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,18,68,72,0,0,#DIV/0!,,
,,,,,0.000,,,,3,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,19,72,76,0,0,#DIV/0!,,
,,,,,,,,,2,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,20,76,80,0,0,#DIV/0!,,
,,,,,,,,,1,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,#DIV/0!,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,目視時間の分布ランキング,,,,,,,,,,,,,,,,,
,,,,,,,,,,1,2,3,4,5,6,7,8,,,,,,,,,
,,,,,,,,,5,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,4,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,3,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,2,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,1,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,目視個所Ｔｏｐ　No.1,#N/A,1,,5.1,#DIV/0!,,,,,,,,,,,,
,,,,,,,,,目視個所Ｔｏｐ　No.2,#N/A,2,,4.1,#DIV/0!,,,,,,,,,,,,
,,,,,,,,,目視個所Ｔｏｐ　No.3,#N/A,3,,3.1,#DIV/0!,,,,,,,,,,,,
,,,,,,,,,目視個所Ｔｏｐ　No.4,#N/A,4,,2.1,#DIV/0!,,,,,,,,,,,,
,,,,,,,,,目視個所Ｔｏｐ　No.5,#N/A,5,,1.1,#DIV/0!,,,,,,,,,,,,
,,,,,,,,,目視個所（累積ではない）,0,,,5.2,#DIV/0!,,,,,,,,,,,,
,,,,,,,,,非目視個所,40,,,4.2,#DIV/0!,,,,,,,,,,,,
,,,,,,,,,合計,40,,,3.2,#DIV/0!,,,,,,,,,,,,
,,,,,,,,,,,,,2.2,#DIV/0!,,,,,,,,,,,,
,,,,,,,,,,,,,1.2,#DIV/0!,,,,,,,,,,,,
,,,,,,,,,,,,,5.3,#DIV/0!,,,,,,,,,,,,
,,,,,,,,,,,,,4.3,#DIV/0!,,,,,1,2,3,4,5,6,7,8
,,,,,,,,,,,,,3.3,#DIV/0!,,,,5,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,,,,,,,,,,2.3,#DIV/0!,,,,4,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,,,,,,,,,,1.3,#DIV/0!,,,,3,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,,,,,,,,,,5.4,#DIV/0!,,,,2,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,,,,,,,,,,4.4,#DIV/0!,,,,1,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,,,,,,,,,,3.4,#DIV/0!,,,,,,,,,,,,
,,,,,,,,,,,,,2.4,#DIV/0!,,,,,,,,,,,,
,,,,,,,,,,,,,1.4,#DIV/0!,,,,,,,,,,,,
,,,,,,,,,,,,,5.5,#DIV/0!,,,,,,,,,,,,
,,,,,,,,,,,,,4.5,#DIV/0!,,,,,,,,,,,,
,,,,,,,,,,,,,3.5,#DIV/0!,,,,,,,,,,,,
,,,,,,,,,,,,,2.5,#DIV/0!,,,,,,,,,,,,
,,,,,,,,,,,,,1.5,#DIV/0!,,,,,,,,,,,,
,,,,,,,,,,,,,5.6,#DIV/0!,,,,,,,,,,,,
,,,,,,,,,,,,,4.6,#DIV/0!,,,,,,,,,,,,
,,,,,,,,,,,,,3.6,#DIV/0!,,,,,,,,,,,,
,,,,,,,,,,,,,2.6,#DIV/0!,,,,,,,,,,,,
,,,,,,,,,,,,,1.6,#DIV/0!,,,,,,,,,,,,
,,,,,,,,,,,,,5.7,#DIV/0!,,,,,,,,,,,,
,,,,,,,,,,,,,4.7,#DIV/0!,,,,,,,,,,,,
,,,,,,,,,,,,,3.7,#DIV/0!,,,,,,,,,,,,
,,,,,,,,,,,,,2.7,#DIV/0!,,,,,,,,,,,,
,,,,,,,,,,,,,1.7,#DIV/0!,,,,,,,,,,,,
,,,,,,,,,,,,,5.8,#DIV/0!,,,,,,,,,,,,
,,,,,,,,,,,,,4.8,#DIV/0!,,,,,,,,,,,,
,,,,,,,,,,,,,3.8,#DIV/0!,,,,,,,,,,,,
,,,,,,,,,,,,,2.8,#DIV/0!,,,,,,,,,,,,
,,,,,,,,,,,,,1.8,#DIV/0!,,,,,,,,,,,,
,,,,,,,,,,,,総計,40,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
